"Dataset" "MW_PRE1" "MW_POST1" "MeanDiff_PRE1_POST1" "SD_PRE1" "SD_POST1" "Cohens_d_PRE1_POST1" "Cor_PRE1_POST1" "Cor_pairwise_PRE1_PRE2" "Cor_pairwise_PRE2_PRE3" "Cor_pairwise_PRE3_PRE4" "Cor_pairwise_PRE4_PRE5" "Cor_pairwise_POST1_POST2" "Cor_pairwise_POST2_POST3" "Cor_pairwise_POST3_POST4" "Cor_pairwise_POST4_POST5"
"52" "cor_07_dataset_k52" 10.37656 9.95521 0.42135 3.44044778091593 4.22974736403105 0.109289694877543 0.385150188122561 0.655190764195137 0.657273095140612 0.653383502937717 0.657567264879074 0.68510815905386 0.682821814016459 0.681672979504092 0.682358225275614
"53" "cor_07_dataset_k53" 10.38846 9.42536 0.963100000000001 3.44475216693087 4.23473590679301 0.249507329544592 0.38569846078155 0.655739018055874 0.654734149134347 0.656654247609878 0.653760040359836 0.685927088299175 0.686353442066657 0.681893197876668 0.683248095918347
"54" "cor_07_dataset_k54" 10.37224 9.42462 0.947619999999999 3.44434551367312 4.23494476979004 0.245501226999659 0.383438936432189 0.656186295912369 0.653546419563049 0.655366892329846 0.654071625207817 0.686144959368677 0.685113497032559 0.683269875081701 0.681871900939825
"55" "cor_07_dataset_k55" 10.411 9.4711 0.9399 3.44324230329142 4.2398802525361 0.243361462918292 0.383345349954837 0.650951339697997 0.654534123414513 0.65281501166273 0.654907036931208 0.685503123655912 0.683047701624197 0.684551817324346 0.683559778866441
"56" "cor_07_dataset_k56" 10.38243 9.49261 0.889819999999999 3.44387222435139 4.23911843301775 0.230402804295836 0.390314067850742 0.658121629798635 0.655605950157887 0.655826926121823 0.655692668587665 0.682714409407461 0.685798072025423 0.68421662245644 0.682051960416062
"57" "cor_07_dataset_k57" 10.36874 9.44623 0.922510000000001 3.45709854179821 4.21419107079447 0.239346955897914 0.383328393869676 0.653362068531203 0.656764945743202 0.656917708060386 0.657913725331898 0.685281157196565 0.683215494932024 0.68420485569862 0.684507293270463
"58" "cor_07_dataset_k58" 10.39101 9.5256 0.865409999999999 3.45817593099421 4.23139264153504 0.223957369819663 0.385453428556648 0.656805400211477 0.655299459879208 0.655546893364609 0.651280328247109 0.682680073059985 0.682988041976579 0.681829628314251 0.682149180441081
"59" "cor_07_dataset_k59" 10.38616 9.54739 0.83877 3.44834443830567 4.22747594947967 0.217431377569546 0.387380742752475 0.65602780395308 0.655868447599413 0.655725315048966 0.653371211881089 0.685107909677375 0.684968391912637 0.685940905163803 0.681589710989293
"60" "cor_07_dataset_k60" 10.40541 9.59868 0.80673 3.46026768710524 4.24069358624517 0.20844645803544 0.384959156130058 0.654145091092325 0.654854212517963 0.652760932169589 0.65646754058226 0.684205738267649 0.682633452452916 0.680777749824419 0.681828047189238
"61" "cor_07_dataset_k61" 10.40031 9.59286 0.807449999999999 3.45381834966924 4.23268663814861 0.209025129985409 0.383898687259267 0.657386945689482 0.653003897228608 0.652242318357614 0.656332703098148 0.682718651575924 0.682956571814645 0.685388367619073 0.684057808441865
